"SERIES_ID","season","TEAM_A","TEAM_B","WINNER","TEAM_ID_A","TEAM_ID_B","WIN_PCT_DIFF","NET_RATING_DIFF","TS_DIFF","THREE_PT_DIFF","OFF_RATING_DIFF","DEF_RATING_DIFF","EFG_DIFF","OREB_DIFF","TOV_DIFF","PLUS_MINUS_DIFF","SOS_DIFF","SRS_DIFF","H2H_WIN_PCT_DIFF","H2H_TS_PCT_DIFF","H2H_EFG_PCT_DIFF","H2H_POINT_DIFF_DIFF"
"Golden State Warriors vs San Antonio Spurs","2017-18","Golden State Warriors","San Antonio Spurs",1,1610612744,1610612759,0.134,2.9,0.0599999999999999,0.056977988033048,5.7,2.7,0.0619999999999999,-0.034,0.016,3,-0.008024390243902,2.9919756097561,0.5,0.0699370661966577,0.0716391419855614,13
"Houston Rockets vs Minnesota Timberwolves","2017-18","Houston Rockets","Minnesota Timberwolves",1,1610612745,1610612750,0.22,6.1,0.024,0.241241182999933,1.59999999999999,-4.5,0.028,-0.035,0.013,6.09999999999999,-0.014451219512196,6.0855487804878,1,0.0847865804834562,0.0824847102578327,31.5
"Houston Rockets vs Utah Jazz","2017-18","Houston Rockets","Utah Jazz",1,1610612745,1610612762,0.208,4,0.026,0.145686579755016,6.69999999999999,2.7,0.024,-0.002,-0.011,3.99999999999998,-0.02069512195122,3.97930487804876,1,0.100604964934854,0.10548697180394,35
"Miami Heat vs Philadelphia 76ers","2017-18","Miami Heat","Philadelphia 76ers",0,1610612748,1610612755,-0.097,-4.2,-0.0169999999999999,0.013690265276109,-2.3,1.89999999999999,-0.015,-0.025,-0.015,-4.19999999999998,-0.007780487804878,-4.20778048780486,0,0.00884264913661248,0.0113881106297188,1
"New Orleans Pelicans vs Portland Trail Blazers","2017-18","New Orleans Pelicans","Portland Trail Blazers",1,1610612740,1610612757,-0.013,-1.6,0.0239999999999999,-0.00431897472972603,0.0999999999999943,1.7,0.03,-0.039,0.00599999999999998,-1.60000000000001,0.00271951219512195,-1.59728048780489,0,0.0659101403302945,0.0577909900138086,-0.5
"Oklahoma City Thunder vs Utah Jazz","2017-18","Oklahoma City Thunder","Utah Jazz",0,1610612760,1610612762,0,-0.7,-0.0179999999999999,-0.011808976633936,2.69999999999999,3.40000000000001,-0.013,0.064,-0.00900000000000001,-0.70000000000002,-0.010109756097561,-0.71010975609758,0.5,0.0194355932728705,0.0284191592696159,19.5
"Toronto Raptors vs Washington Wizards","2017-18","Toronto Raptors","Washington Wizards",1,1610612761,1610612764,0.196,7.3,0.0149999999999999,0.067686638518866,4.90000000000001,-2.40000000000001,0.014,0,-0.013,7.30000000000001,-0.014195121951219,7.28580487804879,0,-0.00131791712347429,0.00243085236928353,1
"Boston Celtics vs Indiana Pacers","2018-19","Boston Celtics","Indiana Pacers",1,1610612738,1610612754,0.013,0.9,0.00599999999999989,0.089451930735556,1.89999999999999,1,0.004,-0.012,-0.012,0.89999999999999,0.00264634146341503,0.902646341463401,0.5,0.0885816901856443,0.0932967889458031,24
"Boston Celtics vs Milwaukee Bucks","2018-19","Boston Celtics","Milwaukee Bucks",0,1610612738,1610612749,-0.134,-4.3,-0.016,-0.038375931954629,-2.2,2.09999999999999,-0.016,0.00700000000000001,-0.00600000000000001,-4.29999999999999,0.00921951219512201,-4.29078048780488,-0.333333333333333,-0.0609229052249122,-0.0603887764693392,-6.66666666666667
"Brooklyn Nets vs Philadelphia 76ers","2018-19","Brooklyn Nets","Philadelphia 76ers",0,1610612751,1610612755,-0.11,-2.7,-0.0179999999999999,0.060919349481197,-2.69999999999999,0,-0.012,0.00399999999999995,0.002,-2.69999999999998,0.00389024390243903,-2.69610975609755,0,-0.00370252484677103,0.0046292858792859,6.5
"Denver Nuggets vs Portland Trail Blazers","2018-19","Denver Nuggets","Portland Trail Blazers",0,1610612743,1610612757,0.013,-0.2,-0.0099999999999999,0.00888272066970097,-1.60000000000001,-1.40000000000001,-0.001,0,-0.001,-0.2,-0.000329268292683094,-0.20032926829269,0.5,0.00927937640352372,0.0175645006215286,3
"Denver Nuggets vs San Antonio Spurs","2018-19","Denver Nuggets","San Antonio Spurs",1,1610612743,1610612759,0.0740000000000001,2.4,-0.0139999999999999,0.062451269853798,-0.100000000000009,-2.5,-0.00700000000000001,0.062,0.014,2.39999999999999,0.00429268292682894,2.40429268292682,0,0.0321270400411013,0.0442969313191553,11
"Detroit Pistons vs Milwaukee Bucks","2018-19","Detroit Pistons","Milwaukee Bucks",0,1610612765,1610612749,-0.232,-8.9,-0.0389999999999999,-0.025180869760051,-5.09999999999999,3.8,-0.041,0.041,0.00700000000000001,-8.89999999999999,0.013256097560975,-8.88674390243902,-1,-0.108001419915345,-0.112398116314246,-29.5
"Golden State Warriors vs Houston Rockets","2018-19","Golden State Warriors","Houston Rockets",1,1610612744,1610612745,0.0489999999999999,1.7,0.015,-0.135831553578885,0.0999999999999943,-1.5,0.0229999999999999,-0.012,0.004,1.6,-0.00596341463414601,1.59403658536584,-0.5,-0.00919065296469235,0.00582104562295194,-13
"Golden State Warriors vs LA Clippers","2018-19","Golden State Warriors","LA Clippers",1,1610612744,1610612746,0.11,5.5,0.021,0.088575262554314,3.59999999999999,-1.80000000000001,0.0359999999999999,-0.00600000000000001,-0.00199999999999997,5.40000000000001,-0.00656097560975605,5.39343902439025,0.5,0.0159188453228766,0.0313006548900361,21
"Golden State Warriors vs Portland Trail Blazers","2018-19","Golden State Warriors","Portland Trail Blazers",1,1610612744,1610612757,0.0489999999999999,2.3,0.028,0.044340981925657,1.3,-0.900000000000006,0.0369999999999999,-0.051,0.002,2.20000000000001,-0.00774390243902406,2.19225609756097,0,0.0567028831960802,0.0718548144969112,7.5
"Golden State Warriors vs Toronto Raptors","2018-19","Golden State Warriors","Toronto Raptors",0,1610612744,1610612761,-0.012,0.7,0.017,0.00431430013758999,2.40000000000001,1.8,0.0219999999999999,-0.00800000000000001,0.001,0.60000000000001,0.01319512195122,0.61319512195122,-1,-0.0587225768173,-0.0437462575575291,-23
"Houston Rockets vs Utah Jazz","2018-19","Houston Rockets","Utah Jazz",1,1610612745,1610612762,0.036,-0.2,0.00900000000000001,0.12565977386301,4.60000000000001,4.8,0.004,-0.00600000000000001,-0.014,-0.19999999999999,0.00269512195122001,-0.19730487804877,0,-0.013872834930576,-0.0102567536977674,-3
"Milwaukee Bucks vs Toronto Raptors","2018-19","Milwaukee Bucks","Toronto Raptors",0,1610612749,1610612761,0.025,2.8,0.004,0.040159463042633,0.900000000000006,-1.89999999999999,0.00700000000000001,-0.015,-0.005,2.79999999999999,-0.003743902439024,2.79625609756097,0.5,0.0751561207726514,0.0762152260530062,13
